,Unnamed: 0,Budget,Clicks,Conversions,Revenue_Generated,ROI,Subscription_Tier,Subscription_Length,Discount_Level,Units_Sold,Bundle_Price,Customer_Satisfaction_Post_Refund,Common_Keywords,Conversion_Rate,Customer_Response,Revenue_per_Click,ROI_Score
34,34,38686.06,3098,115,59161.53,2.53,Standard,21,63,194,134.18,3,Innovative,0.037108744756373026,0,19.09052274927396,0.09388512423362375
35,35,10936.71,2719,29,5333.62,2.91,Premium,19,36,21,495.73,4,Affordable,0.010661764705882353,0,1.960889705882353,0.03102573529411765
36,36,27815.5,2547,441,11138.3,3.15,Basic,33,33,124,51.09,2,Affordable,0.17307692307692307,1,4.371389324960753,0.5451923076923076
37,37,26529.02,1081,839,49134.7,3.17,Standard,2,47,113,347.8,2,Affordable,0.7754158964879853,1,45.410998151571164,2.458068391866913
38,38,12292.15,1362,327,22019.92,0.88,Basic,23,45,49,401.31,2,Durable,0.23991195891415995,0,16.155480557593542,0.21112252384446076
39,39,30877.02,1077,310,24046.81,4.93,Basic,8,69,18,248.13,1,Innovative,0.287569573283859,1,22.30687384044527,1.4177179962894249
40,40,34299.57,3940,951,23264.81,2.18,Premium,2,38,102,452.81,2,Innovative,0.24130931235726974,1,5.903275818320224,0.5260543009388481
41,41,11504.53,3042,229,67001.35,3.77,Standard,30,67,144,149.36,2,Innovative,0.07525468287873809,1,22.018189286887942,0.2837101544528426
42,42,8640.53,4972,138,58350.61,4.46,Standard,33,21,26,498.37,4,Innovative,0.027749849185602252,0,11.733482807158657,0.12376432736778605
43,43,42067.16,3485,305,79350.86,0.62,Basic,25,28,35,143.15,1,Affordable,0.08749282845668388,0,22.762725186460127,0.054245553643144005
44,44,17588.71,509,574,69641.84,0.72,Standard,33,67,147,327.11,3,Innovative,1.1254901960784314,0,136.5526274509804,0.8103529411764706
45,45,29985.11,1630,645,88889.73,1.54,Premium,12,57,150,472.39,2,Innovative,0.39546290619251995,1,54.5001410177805,0.6090128755364808
46,46,16440.08,4263,47,26375.47,3.68,Basic,13,17,158,270.93,2,Durable,0.01102251407129456,0,6.185616791744841,0.04056285178236398
47,47,42205.14,409,315,8688.28,4.23,Standard,15,51,31,261.89,1,Stylish,0.7682926829268293,1,21.190926829268296,3.2498780487804884
48,48,16819.62,1838,222,72477.25,4.65,Basic,35,15,21,439.93,2,Stylish,0.12071778140293637,1,39.41122892876563,0.5613376835236542
49,49,9759.98,4385,782,66455.8,4.58,Premium,1,44,86,441.02,1,Innovative,0.17829457364341086,1,15.151801185590516,0.8165891472868217
50,50,47316.05,4457,596,92430.72,0.65,Basic,9,29,126,401.49,2,Durable,0.13369223867205024,0,20.733674293405116,0.08689995513683266
51,51,48434.35,2835,362,84952.12,2.65,Premium,10,45,184,342.05,3,Innovative,0.12764456981664316,1,29.954908321579687,0.33825811001410433
52,52,25224.27,534,982,27754.01,3.0,Basic,27,18,124,109.24,2,Innovative,1.8355140186915888,1,51.87665420560747,5.506542056074767
53,53,39531.48,4980,851,28155.05,4.44,Basic,23,47,76,495.14,4,Innovative,0.17084922706283878,1,5.652489459947802,0.7585705681590043
54,54,1191.51,2103,815,14952.16,1.22,Premium,21,51,121,244.67,2,Durable,0.3873574144486692,1,7.106539923954372,0.47257604562737643
55,55,47675.89,773,545,88710.22,2.56,Premium,11,34,39,138.15,4,Stylish,0.7041343669250646,1,114.61268733850129,1.8025839793281655
56,56,18025.94,3372,778,93803.92,2.95,Standard,34,11,182,379.7,4,Innovative,0.23065520308330864,1,27.810234212866884,0.6804328490957605
57,57,47520.11,4909,13,9800.38,4.28,Basic,33,64,80,179.22,4,Durable,0.0026476578411405295,0,1.9960040733197555,0.011331975560081467
58,58,5436.91,2635,86,87725.67,2.02,Premium,24,68,111,242.47,3,Affordable,0.032625189681335355,0,33.279844461305004,0.06590288315629741
59,59,11004.34,1092,800,50999.43,3.16,Basic,33,47,199,175.07,4,Durable,0.7319304666056725,1,46.660045745654166,2.3129002744739253
60,60,15084.62,3374,228,41807.56,0.83,Basic,34,56,34,404.34,1,Stylish,0.06755555555555555,0,12.387425185185185,0.056071111111111106
61,61,24173.01,1270,649,25180.95,0.84,Standard,23,13,186,432.7,1,Stylish,0.5106215578284815,0,19.81191974822974,0.42892210857592444
62,62,899.85,4636,235,63876.35,4.98,Premium,17,56,46,306.3,1,Stylish,0.05067931852490835,1,13.775361224929911,0.2523830062540436
63,63,13560.24,2662,659,7208.47,0.88,Basic,26,14,133,226.73,1,Innovative,0.24746526473901614,0,2.7068982350732256,0.21776943297033421
64,64,34502.68,2734,78,16089.53,2.63,Standard,30,39,75,172.92,3,Stylish,0.028519195612431443,0,5.882826325411335,0.07500548446069469
65,65,39904.7,3491,884,16433.15,1.67,Basic,12,43,50,401.48,4,Durable,0.2531500572737686,1,4.705942153493701,0.42276059564719354
66,66,41432.19,4557,557,64342.81,2.09,Basic,3,11,81,164.75,2,Innovative,0.12220272049144361,1,14.11645677928916,0.25540368582711714
67,67,3103.38,4054,263,98709.9,1.72,Premium,10,67,104,187.71,3,Affordable,0.06485819975339087,1,24.34276202219482,0.11155610357583229
68,68,25064.44,4958,339,25221.16,0.63,Standard,20,20,89,357.68,1,Innovative,0.06836055656382335,0,5.085936680782416,0.04306715063520871
69,69,42025.3,4936,615,37248.89,4.18,Premium,29,41,150,330.48,2,Durable,0.1245695766659915,1,7.544843022078185,0.5207008304638444
70,70,33081.13,2100,498,23273.84,4.28,Basic,10,23,31,130.45,4,Durable,0.2370299857210852,1,11.077505949547835,1.0144883388862447
71,71,4616.73,943,918,78426.52,0.83,Basic,28,31,174,498.89,1,Affordable,0.972457627118644,0,83.0789406779661,0.8071398305084745
72,72,47731.63,4567,159,8505.21,2.5,Standard,15,16,152,345.31,4,Durable,0.03480735551663748,0,1.8619111208406303,0.08701838879159371
73,73,25644.96,4106,141,91170.22,4.73,Standard,24,25,119,385.6,1,Affordable,0.03433162892622352,0,22.19873873873874,0.16238860482103726
74,74,34512.33,3615,115,10146.22,2.59,Premium,3,65,12,149.92,2,Durable,0.031803097345132744,0,2.8059236725663714,0.0823700221238938
75,75,26203.46,180,117,15998.54,4.99,Standard,29,55,7,491.8,2,Stylish,0.6464088397790055,1,88.38972375690608,3.225580110497238
76,76,17450.37,3129,292,88925.82,3.11,Premium,28,29,112,307.58,3,Stylish,0.09329073482428114,1,28.410805111821087,0.29013418530351437
77,77,41719.78,4003,261,35090.34,1.36,Premium,33,13,145,321.45,3,Stylish,0.06518481518481518,1,8.763821178821178,0.08865134865134866
78,78,13125.65,1633,14,84334.85,3.79,Basic,13,32,91,137.93,4,Innovative,0.008567931456548347,0,51.61251529987761,0.03247246022031824
79,79,32654.36,4911,250,90929.37,2.26,Standard,13,36,13,453.38,2,Innovative,0.050895765472312705,1,18.511679560260585,0.1150244299674267
80,80,33458.8,1692,994,57680.38,4.09,Basic,7,20,144,189.66,1,Stylish,0.5871234494979327,1,34.06992321323095,2.4013349084465445
81,81,14625.78,668,862,29351.53,1.1,Standard,22,11,59,251.81,2,Innovative,1.288490284005979,1,43.873736920777276,1.4173393124065772
82,82,14409.41,2360,687,95547.2,4.53,Standard,27,32,139,58.73,4,Affordable,0.2909783989834816,1,40.46895383312156,1.3181321473951717
83,83,35040.17,570,182,31151.61,4.93,Standard,4,34,122,159.12,4,Stylish,0.318739054290718,1,54.55623467600701,1.5713835376532397
84,84,44031.41,803,995,87098.84,3.34,Basic,3,11,92,226.8,3,Durable,1.2375621890547264,1,108.33189054726368,4.1334577114427855
85,85,35825.13,2907,858,51372.49,3.66,Standard,28,18,14,124.58,3,Stylish,0.29504814305364513,1,17.665918156808804,1.0798762035763412
86,86,5743.66,1245,375,60351.88,3.81,Standard,29,10,61,490.35,2,Durable,0.30096308186195825,1,48.43650080256822,1.146669341894061
87,87,36750.76,4034,810,98711.24,4.34,Basic,14,46,57,219.83,2,Durable,0.20074349442379183,1,24.463752168525403,0.8712267657992565
88,88,47951.99,833,159,5676.62,3.93,Premium,11,29,21,140.51,1,Stylish,0.1906474820143885,1,6.806498800959233,0.7492446043165468
89,89,19707.33,3469,433,59347.53,4.53,Basic,22,49,48,294.06,3,Innovative,0.12478386167146974,1,17.103034582132565,0.565270893371758
90,90,24666.26,4097,372,66489.51,3.37,Basic,9,68,137,215.33,3,Innovative,0.09077598828696926,1,16.224868228404098,0.3059150805270864
91,91,30766.7,2449,228,95210.21,0.64,Basic,3,45,112,215.85,1,Affordable,0.09306122448979592,0,38.86131020408163,0.05955918367346939
92,92,32103.4,2952,195,5528.63,4.3,Standard,30,40,158,462.72,3,Durable,0.06603454114459871,1,1.8722079241449374,0.28394852692177447
93,93,44792.05,683,26,83164.88,0.53,Premium,2,53,98,387.5,4,Innovative,0.038011695906432746,0,121.58608187134503,0.020146198830409356
94,94,4073.65,1671,628,88605.11,2.71,Basic,5,49,126,254.97,3,Affordable,0.37559808612440193,1,52.99348684210526,1.0178708133971293
95,95,49366.97,3051,738,95295.4,3.16,Standard,26,51,121,131.6,4,Innovative,0.2418086500655308,1,31.22391874180865,0.7641153342070773
96,96,45303.17,2850,444,81839.45,4.26,Basic,14,24,46,378.24,1,Innovative,0.15573482988425114,1,28.705524377411432,0.6634303753069098
97,97,23795.37,3838,654,60718.24,2.74,Premium,11,25,143,60.59,3,Innovative,0.1703568637666059,1,15.816160458452721,0.4667778067205002
98,98,12100.49,2410,207,18666.12,3.24,Premium,7,40,135,188.12,4,Innovative,0.08585649108253837,1,7.74206553297387,0.27817503110742436
99,99,47560.47,3165,472,18015.62,3.97,Premium,12,61,166,77.08,4,Innovative,0.1490840176879343,1,5.690341124447252,0.5918635502210993
100,100,30242.98,1891,4,60011.28,3.29,Standard,35,47,79,93.67,1,Innovative,0.0021141649048625794,0,31.718435517970402,0.006955602536997886
101,101,30358.46,3935,315,64180.87,1.05,Basic,8,26,112,211.76,1,Stylish,0.08003048780487805,1,16.306115345528458,0.08403201219512196
102,102,47677.75,1817,87,90909.69,0.56,Basic,30,38,177,443.92,3,Stylish,0.04785478547854786,0,50.005330033003304,0.026798679867986803
103,103,3485.88,4523,828,74681.29,3.37,Standard,13,27,181,125.93,2,Innovative,0.1830238726790451,1,16.50780061892131,0.616790450928382
104,104,5163.39,1262,567,26537.68,4.25,Basic,19,61,99,161.45,3,Innovative,0.4489311163895487,1,21.01162311955661,1.907957244655582
105,105,32952.48,4380,442,64670.43,0.66,Standard,14,24,131,188.41,2,Durable,0.10089020771513353,0,14.761568135128966,0.06658753709198813
106,106,13378.21,3263,583,77000.33,3.28,Standard,24,19,99,338.3,4,Durable,0.17861519607843138,1,23.59078737745098,0.5858578431372549
107,107,8170.35,1590,625,11742.17,2.49,Premium,19,34,84,437.61,3,Affordable,0.3928346951602766,1,7.380370835952231,0.9781583909490887
108,108,2198.3,3128,54,12455.44,1.43,Basic,23,15,74,474.23,4,Stylish,0.01725790987535954,0,3.9806455736657083,0.024678811121764142
109,109,15942.44,2249,828,95996.74,4.01,Premium,26,31,140,106.8,4,Affordable,0.368,1,42.66521777777778,1.4756799999999999
110,110,16582.3,2725,182,14191.29,4.48,Standard,24,46,55,99.26,4,Durable,0.06676449009537784,1,5.205902421129861,0.29910491562729274
111,111,32544.97,332,309,6700.87,4.78,Standard,6,11,39,230.51,1,Stylish,0.9279279279279279,1,20.122732732732732,4.435495495495496
112,112,27502.66,59,937,14250.98,2.5,Premium,28,22,199,79.25,1,Affordable,15.616666666666667,1,237.51633333333334,39.04166666666667
113,113,45484.9,1407,355,9660.09,4.93,Premium,26,40,60,461.46,2,Stylish,0.2521306818181818,1,6.860859375,1.2430042613636363
114,114,18705.17,4763,845,79718.02,2.99,Standard,30,45,52,322.53,1,Stylish,0.17737195633921074,1,16.7334214945424,0.5303421494542402
115,115,42309.18,4834,479,69833.46,2.24,Standard,16,56,157,250.55,3,Durable,0.09906928645294726,1,14.443321613236817,0.22191520165460188
116,116,7626.44,2904,348,47479.32,3.43,Premium,7,41,15,273.77,4,Affordable,0.11979345955249569,1,16.344,0.41089156626506024
117,117,21705.56,1854,272,67620.62,1.98,Standard,8,19,68,375.82,3,Affordable,0.14663072776280323,1,36.45316442048517,0.2903288409703504
118,118,24013.73,509,141,24573.1,2.58,Premium,17,18,24,463.89,4,Innovative,0.27647058823529413,1,48.18254901960784,0.7132941176470589
119,119,35926.59,2394,114,7451.9,3.33,Basic,28,63,138,126.44,4,Durable,0.04759916492693111,0,3.111440501043841,0.1585052192066806
120,120,34986.45,25,528,98731.51,2.29,Standard,35,32,128,86.74,1,Affordable,20.307692307692307,1,3797.365769230769,46.504615384615384
121,121,26160.48,4958,842,19764.4,2.0,Basic,29,15,196,230.97,2,Durable,0.16979229683403912,1,3.9855616051623315,0.33958459366807825
122,122,48037.54,3110,35,14176.92,3.76,Basic,16,46,114,95.62,4,Durable,0.011250401800064288,0,4.557029893924783,0.04230151076824172
123,123,5171.29,3852,363,58656.53,1.47,Premium,16,24,163,387.53,1,Stylish,0.09421230210225798,1,15.223599792369582,0.1384920840903192
124,124,10624.88,1633,835,48414.45,2.38,Premium,29,43,5,469.43,2,Innovative,0.511015911872705,1,29.62940636474908,1.2162178702570379
125,125,7928.76,4364,440,99239.98,4.65,Basic,10,58,112,188.65,4,Innovative,0.10080183276059565,1,22.735390607101948,0.4687285223367698
126,126,12604.11,4892,25,68403.51,3.46,Basic,26,35,182,323.83,3,Affordable,0.005109339873288371,0,13.979871244635191,0.017678315961577765
127,127,14218.46,3891,678,75402.56,3.03,Standard,30,43,33,273.54,1,Durable,0.17420349434737925,1,19.37373072970195,0.527836587872559
128,128,44595.46,4195,457,92494.33,2.16,Basic,3,66,149,336.32,4,Affordable,0.10891325071496663,1,22.04345328884652,0.23525262154432794
129,129,39923.5,164,451,17929.16,4.78,Basic,33,23,168,207.54,2,Innovative,2.7333333333333334,1,108.66157575757576,13.065333333333335
130,130,15308.75,1734,846,75254.67,2.1,Basic,21,11,7,397.98,1,Stylish,0.48760806916426513,1,43.37444956772334,1.0239769452449567
131,131,1163.97,2117,820,73153.86,0.62,Premium,35,19,158,96.79,1,Affordable,0.3871576959395656,0,34.53912181303116,0.2400377714825307
132,132,24222.92,1188,867,98204.56,0.56,Basic,8,44,194,119.25,3,Stylish,0.7291841883936081,0,82.5942472666106,0.40834314550042056
133,133,39727.48,4380,668,19280.32,3.26,Premium,17,30,73,175.58,2,Durable,0.1524766035151792,1,4.4008947728829035,0.49707372745948414
134,134,44957.5,2401,886,69665.64,3.45,Premium,24,45,159,291.38,4,Stylish,0.3688592839300583,1,29.003180682764363,1.2725645295587011
135,135,8214.53,4447,200,38546.75,0.76,Premium,26,17,103,160.17,3,Affordable,0.044964028776978415,0,8.666085881294965,0.03417266187050359
136,136,10568.3,4294,877,16066.15,2.54,Premium,13,58,120,334.35,4,Durable,0.20419091967403957,1,3.740663562281723,0.5186449359720605
137,137,39925.73,1308,667,39628.31,4.15,Standard,31,50,73,369.21,3,Affordable,0.5095492742551566,1,30.273728036669212,2.1146294881589003
138,138,16623.51,3574,130,97788.85,3.2,Standard,7,44,162,280.8,3,Innovative,0.03636363636363636,0,27.353524475524477,0.11636363636363636
139,139,2710.62,2482,682,86758.22,3.26,Standard,22,18,110,237.13,4,Innovative,0.27466774063632704,1,34.94088602496979,0.8954168344744261
140,140,42287.77,143,104,7502.85,2.55,Premium,2,25,68,423.89,3,Stylish,0.7222222222222222,1,52.103125000000006,1.8416666666666666
141,141,43590.12,3557,161,31944.63,4.5,Standard,17,18,120,286.16,3,Stylish,0.04525014052838673,0,8.978254637436763,0.20362563237774028
142,142,8975.24,302,361,76202.39,3.72,Basic,3,44,82,162.69,4,Innovative,1.1914191419141915,1,251.49303630363036,4.4320792079207925
143,143,7059.12,3657,889,33378.9,4.06,Standard,19,33,195,476.55,4,Affordable,0.2430289775833789,1,9.124904319300164,0.9866976489885183
144,144,28983.34,3136,1,21338.77,3.64,Standard,11,28,104,387.06,1,Stylish,0.000318775900541919,0,6.802285623206886,0.0011603442779725853
145,145,8811.78,4331,670,3641.06,4.0,Standard,4,32,188,231.76,3,Stylish,0.15466297322253,1,0.8405032317636195,0.61865189289012
146,146,45046.99,3906,19,23419.38,1.68,Standard,8,40,121,477.29,1,Durable,0.004863066291272076,0,5.994210391604812,0.008169951369337087
147,147,39132.89,2088,750,49738.68,3.97,Basic,26,10,75,455.81,2,Stylish,0.35902345619913834,1,23.809803733843946,1.4253231211105792
148,148,22847.93,3038,346,34735.24,4.22,Basic,3,15,151,207.44,3,Affordable,0.11385324119776243,1,11.429825600526488,0.4804606778545574
149,149,32937.85,4823,622,44931.85,0.87,Standard,23,45,22,83.48,2,Durable,0.12893864013266998,0,9.314230928689884,0.11217661691542288
150,150,45415.58,1489,716,81493.11,2.47,Standard,21,41,174,418.93,1,Innovative,0.48053691275167787,1,54.693362416107384,1.1869261744966444
151,151,23682.97,1050,737,67713.87,2.14,Basic,16,21,175,85.69,3,Affordable,0.7012369172216937,1,64.42803996194101,1.5006470028544245
152,152,24943.59,452,513,91884.03,3.19,Basic,29,25,10,93.82,2,Affordable,1.1324503311258278,1,202.8345033112583,3.6125165562913906
153,153,37262.09,2369,401,4078.83,4.78,Premium,27,39,128,419.12,2,Affordable,0.16919831223628692,1,1.7210253164556961,0.8087679324894516
154,154,46357.79,295,395,82619.43,4.51,Standard,16,17,22,479.93,2,Innovative,1.3344594594594594,1,279.1196959459459,6.018412162162162
155,155,23461.63,1722,64,75380.98,4.04,Premium,6,67,177,139.77,1,Stylish,0.0371445153801509,0,43.74984329657574,0.15006384213580964
156,156,10110.02,613,924,15327.08,4.73,Standard,6,12,62,487.21,1,Affordable,1.504885993485342,1,24.962671009771988,7.118110749185669
157,157,46878.52,3604,72,51809.46,0.77,Standard,23,15,137,459.78,4,Affordable,0.019972260748959778,0,14.371556171983356,0.01537864077669903
158,158,13648.25,4057,910,72100.91,4.58,Basic,19,26,120,247.96,3,Stylish,0.22424839822572695,1,17.767597338590438,1.0270576638738294
159,159,34592.93,2359,977,62603.21,1.21,Premium,12,37,95,249.21,3,Durable,0.4139830508474576,1,26.526783898305084,0.5009194915254237
160,160,42313.47,4128,282,7572.5,2.45,Premium,7,25,3,405.31,1,Stylish,0.06829740857350448,1,1.833979171712279,0.167328651005086
161,161,2571.24,4829,432,23721.07,3.33,Standard,16,21,150,350.61,2,Innovative,0.08944099378881988,1,4.911194616977226,0.2978385093167702
162,162,12087.24,2814,517,44677.34,0.58,Premium,32,56,16,61.36,4,Stylish,0.18365896980461813,0,15.871168738898755,0.10652220248667851
163,163,21254.42,403,337,90527.35,0.7,Basic,32,63,131,404.58,2,Affordable,0.8341584158415841,0,224.077599009901,0.5839108910891089
164,164,7459.82,4698,783,12843.8,2.46,Standard,7,13,115,308.26,1,Stylish,0.16663119812726113,1,2.7333049585018085,0.4099127473930624
165,165,17311.6,4098,9,29963.88,4.89,Premium,15,64,29,129.09,3,Innovative,0.0021956574774335204,0,7.3100463527689685,0.010736765064649914
166,166,34064.21,1945,817,14148.88,2.11,Standard,1,12,186,438.17,4,Affordable,0.4198355601233299,1,7.270750256937307,0.885853031860226
167,167,3978.28,4103,899,14944.07,1.3,Premium,32,24,79,97.08,2,Affordable,0.21905458089668617,1,3.6413425925925926,0.284770955165692
168,168,28281.97,4899,1,68714.53,4.96,Premium,7,51,22,421.31,1,Affordable,0.00020408163265306123,0,14.023373469387755,0.0010122448979591836
169,169,32674.91,2277,119,72403.07,0.66,Premium,18,64,107,174.45,2,Stylish,0.05223880597014925,0,31.783612818261638,0.03447761194029851
170,170,26286.4,4346,482,4533.44,2.93,Basic,6,11,160,286.4,4,Stylish,0.11088106740280654,1,1.0428893489763054,0.3248815274902232
171,171,1426.22,4173,819,32362.02,1.02,Premium,5,57,13,161.68,1,Stylish,0.19621466219453762,1,7.753239099185434,0.20013895543842838
172,172,4147.89,1902,285,96941.81,2.49,Basic,21,40,147,438.97,2,Affordable,0.14976353126642145,1,50.94157120336311,0.3729111928533894
173,173,48957.54,2831,757,47587.8,4.86,Premium,10,52,24,149.17,1,Durable,0.2673022598870056,1,16.803601694915255,1.2990889830508474
174,174,36552.79,2904,344,20442.26,2.5,Premium,26,27,197,206.97,4,Affordable,0.11841652323580035,1,7.0369225473321855,0.29604130808950085
175,175,45336.29,2117,510,79756.42,4.51,Premium,25,55,127,432.23,3,Affordable,0.24079320113314448,1,37.656477809254014,1.0859773371104815
176,176,29035.81,3711,395,68284.84,4.64,Basic,9,63,171,400.13,2,Durable,0.10641163793103449,1,18.39570043103448,0.49375
177,177,19323.36,1201,61,99096.85,1.62,Premium,18,24,160,484.87,3,Affordable,0.050748752079866885,1,82.44330282861897,0.08221297836938436
178,178,20856.48,1029,996,41082.6,3.9,Standard,25,43,125,222.57,4,Stylish,0.9669902912621359,1,39.88601941747573,3.77126213592233
179,179,40769.5,3208,94,15676.98,3.47,Premium,16,51,33,259.31,4,Durable,0.029292614521657837,0,4.885316297912122,0.1016453723901527
180,180,26164.5,2499,486,32900.01,2.67,Standard,35,20,44,136.22,4,Affordable,0.1944,1,13.160004,0.519048
181,181,32047.33,4487,836,46935.58,1.0,Basic,8,30,110,58.9,3,Stylish,0.18627450980392157,0,10.458016934046347,0.18627450980392157
182,182,6719.49,3451,470,38328.89,1.49,Basic,19,49,180,75.88,3,Affordable,0.1361529548088065,1,11.103386442641947,0.20286790266512167
183,183,17614.28,4957,432,49821.82,4.93,Premium,30,55,23,497.37,4,Durable,0.08713190802743041,1,10.048773699072207,0.4295603065752319
184,184,39432.06,2458,945,47136.19,1.16,Basic,14,24,49,306.06,1,Durable,0.38430256201708013,1,19.16884505896706,0.44579097193981293
185,185,47343.15,3184,142,50547.74,4.64,Basic,25,45,79,130.4,4,Innovative,0.0445839874411303,0,15.870562009419151,0.20686970172684457
186,186,21915.7,4764,688,9530.52,4.45,Premium,8,31,10,190.85,1,Durable,0.14438614900314795,1,2.0001091290661073,0.6425183630640083
187,187,47534.75,2352,218,96302.45,4.53,Standard,4,15,163,89.72,3,Durable,0.09264768380790481,1,40.92751806204845,0.4196940076498088
188,188,48117.67,557,836,89540.89,3.1,Basic,3,28,56,221.52,4,Stylish,1.4982078853046594,1,160.4675448028674,4.644444444444444
189,189,44095.08,860,342,99892.02,2.29,Standard,25,66,81,329.13,3,Affordable,0.397212543554007,1,116.018606271777,0.909616724738676
190,190,29936.03,312,528,25617.94,4.25,Basic,30,32,74,51.81,2,Innovative,1.6869009584664536,1,81.8464536741214,7.1693290734824275
191,191,22412.72,4745,693,94465.85,1.82,Standard,30,60,169,398.6,4,Affordable,0.14601769911504425,1,19.904308891698275,0.26575221238938057
